,real_target,QS-Prediction,AS-Prediction
2782,exocrine pancreatic insufficiency : symptoms,exocrine pancreatic insufficiency : symptoms,pancreatic enzymes : physiology . physiologic disease : causes physiological symptomatic syndrome : symptoms
2783,retinal vasculitis : symptoms,retinal vasculitis is a common condition . .,"retinal vasculitis . symptoms include acuity, visual floaters, scotoma . physiology"
2784,acrocallosal syndrome : general,acrocallosal syndrome : asymptomatic .,"acrocallosal syndrome . characterized by corpus callosum agenesis . symptoms include polydactyly, multiple dysmorphic features ."
2785,maple syrup urine disease : treatments,maple syrup urine disease : treatments . u.s. government,msud decompensation : treatments - treatments : interventions - physiology : prevention : treatment
2786,sex cord–gonadal stromal tumour : diagnosis,sex cord–gonadal stromal tumour : diagnosis,granulosa cell tumour : diagnostic physiology : diagnosis . sex cord–stromal tumours . diagnosis
2787,hair loss : physiology,hair loss a physiology : physio . .,anagen hair follicle growth . symptoms of telogen effluvium : physiology . diagnosis
2788,mitral insufficiency : treatments,mitral insufficiency : treatments . u.,mitral valve repair : treatments : treatment : therapies . autism spectrum disorder : interventions physiology : cures
2789,low back pain : physiology,low back pain physiology : physiotherapy . .,low back pain : physiology : treatments physiologique : causes physiologic : symptoms : diagnosis : general
2790,degenerative disc disease : physiology,the physiology of degenerative disc disease . : physio,degenerative vertebral disc : physiology : treatments . physiologic fibrosis : diagnosis
2791,minimal change disease : symptoms,minimal change disease symptoms : symptoms of the disease . : ,minimal change disease . symptoms include abnormal excretion of proteins into the urine . signs include nephrotic syndrome .
2792,atherosclerosis : physiology,atherosclerosis physiology : physiotherapy . ,atheromatous plaque : physiology : causes . physiologic fibromyelitis : symptoms
2793,spinal and bulbar muscular atrophy : general,spinal and bulbar muscular atrophy is a common cause . ,[{'summary_text': "spinal and bulbar muscular atrophy . kennedy's disease : physiology . neurodegenerative sclerosis : general"}]
2794,stage fright : treatments,stage fright . treatments are available in the uk .,propranolol . hepatitis c : treatments . treatments : therapies ..
2795,developmental language disorder : general,developmental language disorder : a sympathetic disorder .,developmental language disorder : physiology : symptoms : causes . causes : treatments  socio-economic behavioural behavioural disorders : diagnosis
2796,syphilis : prevention,syphilis is a serious disease . it can cause,[{'summary_text': "sex syphilis : prevention - prevention . cdc's stevens stefani : treatments"}]
2797,premature atrial contraction : general,premature atrial contraction : cause of death . sys,premature atrial contractions (apc) or atrial premature beats . pacs are a common cardiac dysrhythmia characterized by premature heartbeat .
2798,mixed connective tissue disease : symptoms,mixed connective tissue disease . symptoms : symptoms of the disease ,carnitine palmitoyltransferase ii|cpt2 mctd : diagnosis
2799,lymphangiosarcoma : general,lymphangiosarcoma : a symptom .,lymphangiosarcoma . symbiosis : causes . causes : physiology .
2800,drowning : symptoms,drowning symptoms : symptoms of a traumatic brain disorder .,drowning : physiology : symptoms - symptoms : causes . socio-economic status quo : signs
2801,myeloid sarcoma : general,[{'summary_text': "myeloid sarcoma : 'it's"}],myeloid sarcoma . it is composed of immature white blood cells called myeloblasts . he says it is an extramedullary manifestation of acute leukemia .
2802,lemierre's syndrome : general,[{'summary_text': "lemierre's syndrome : a symptom ."}],thrombophlebitis : physiology : symptoms : causes . schottmuller syndrome : general
2803,neurosyphilis : treatments,neurosyphilis is a chronic disease . it can cause,neurosyphilis . aqueous penicillin g 3–4 million units every four hours . follow-up blood tests are generally performed .
2804,aneurysm : diagnosis,aneurysm is a common disorder . it can cause,a ruptured cerebral aneurysm . x-ray computed tomography angiography . diagnosis : diagnosis
2805,astrovirus : physiology,astrovirus physiology : physio . .,gastroenteritis . astrovirus pathogenesis : physiology - physiologie : causes . causes
2806,euphoria : general,euphoria is a syria,euphoria : physiology : general physiologies - general : causes . socio-psychophysiology
2807,disease : prevention,the prevention of disease : a brief overview . click here for,"many diseases and disorders can be prevented through a variety of means . health care, public health and public health are all important factors ."
2808,relative energy deficiency in sport : general,relative energy deficiency in sport . u.s.,relative energy deficiency in sport . he says general heaviness of sport : physiology . general : diagnosis
2809,dystonia : causes,dystonia is a disorder characterized by sclerosis .,primary dystonia : physiological physiology . enigmatic cerebellar dystonia : causes
2810,trilogy of fallot : treatments,trilogy of fallot . the treatments are available in the uk,thoracotomy . symbiosis - a symptom : causes . causes : treatments
2811,adenoviridae : prevention,adenoviridae is a common disease . it,adenovirus : vaccine - vaccine for general public - : prevention . vet vets : treatments
2812,diabetic nephropathy : treatments,diabetic nephropathy : treatments . u.,nephropathy : treatments . symbiosis . hepatitis - physiology
2813,spontaneous cerebrospinal fluid leak : physiology,spontaneous cerebrospinal fluid leak : physiology .,cerebrospinal fluid . choroid plexus . causes of meningitis : physiology .
2814,retrovirus : treatments,retrovirus treatments : treatments . click here for more information .,[{'summary_text': "'feline leukemia virus' . lymphocyte t-cell immune modulator . ltci : treatments"}]
2815,appetite : physiology,physiology of appetite : a symbiotic ,appetite regulation : physiology - physiologie : symptoms : causes . socioeconomic status : mechanisms
2816,trypanosomiasis : treatments,trypanosomiasis is a treatment for a ,eflornithine : treatments physiology : treatment physiologies - treatments : interventions . traumatism - treatment
2817,spasticity : general,spasticity is the most popular city in the world . .,spastic cerebral palsy : physiology : treatments : symptoms : causes physiologic : effects . symptoms: causes
2818,basilar skull fracture : symptoms,basilar skull fracture . symptoms of a coma .,ecchymosis : physiology : causes . physiologic symbiosis - causes
2819,photosensitivity : general,photosensitivity : a systo . .,[{'summary_text': "photosensitivity in the mammalian eye . it is a general term used to describe a person's reaction to a photon . the term is commonly used in medicine ."}]
2820,hypogonadism : diagnosis,hypogonadism is the diagnosis of a symptom ,menopausal hypogonadism : diagnose . vet vets : treatments physiology : diagnosis
2821,hypersensitivity : general,hypersensitivity : a sympathetic symptom .,"hypersensitivity (also called hypersensitivity reaction), he says . he argues that hypersensitivity is a general symptom of the immune system ."
2822,neuromyelitis optica : general,neuromyelitis optica : a general symptom .,neuromyelitis optica . it consists of the inflammation and demyelination of the optic nerve and the spinal cord . the disease can be monophasic or recurrent .
2823,human orthopneumovirus : symptoms,human orthopneumovirus symptoms : symptoms . .,bronchiolitis : incubation . cdc : physiology : symptoms : causes
2824,persistent hyperplastic primary vitreous : causes,persistent hyperplastic primary vitreous syndrome : causes . .,trisomy 13 (patau syndrome) walker-warburg syndrome . autosomal dominant . recessive .
2825,discoid lupus erythematosus : symptoms,discoid lupus erythematosus,discoid lupus erythematosus skin lesions . morphology of lesions: physiology
2826,hypothyroidism : diagnosis,hypothyroidism is a common condition . it can cause,subclinical hypothyroidism . he says diagnosis focuses on thyroid dysfunction . hypothalamic syndrome : diagnosis
2827,alagille syndrome : symptoms,alagille syndrome . symptoms are not uncommon . ,[{'summary_text': "alagille's syndrome : physiology : symptoms . physiologic adolescence : causes"}]
2828,tricuspid valve stenosis : treatments,tricuspid valve stenosis : treatments .,tricuspid valve stenosis . he says treatment : treatments . treatments ; treatments : treatment . valvuloplasty
2829,coffin–lowry syndrome : general,coffin–lowry syndrome is the most common disorder in the world ,coffin–lowry syndrome . causes x-linked dominant disorder . hepatitis c - physiology
2830,donohue syndrome : general,donohue syndrome is the most common symptom in the world,donohue syndrome . elvish : physiology : causes physiologic . causes: causes
2831,tangier disease : treatments,tangier disease is a chronic disease . it can cause ,[{'summary_text': "high-density lipoprotein|hdl . tangier's disease : treatments - treatments : interventions"}]
2832,toxoplasmic chorioretinitis : diagnosis,toxoplasmic chorioretinitis :,toxoplasmic retinochoroiditis . hepatitis c – physiology : diagnosis
2833,atopic dermatitis : diagnosis,atopic dermatitis is the most common symptom .,atopic dermatitis . diagnosis based on symptoms and symptoms . uk diagnostic criteria . most widely validated .
2834,anisocoria : causes,anisocoria is a chronic disease . .,[{'summary_text': "anisocoria : physiology - causes : causes physiologist - physiologies . horner's syndrome : symptoms"}]
